,link,writer,date,view,text
0,https://band.us/band/86294308/post/51,서준.상현.도연맘,2022년 8월 1일 오전 11:01,33 읽음,"안녕하세요.새로 옮겨심는것도 새로잎이 생기려고하고,새로산 모종에도 죽으려고하다가 고추꽃이 피었어요^^그런데...날파리같은 벌레가 흙에  왜이렇게 많이 나오는걸까요? 잎도 수분부족인듯해서 물은줘도   쌩쌩하게 살아나지 않는듯한데.."
0,https://band.us/band/86294308/post/52,꽃피우는시간,2022년 8월 4일 오전 11:18,39 읽음,[잎에 갈색 반점이 생겼다면?]꽃피우는시간 반려식물이야기 블로그에서잎에 생길 수 있는 갈색 반점에 대한 이야기를 볼 수 있어요https://blog.naver.com/flowerbloomingtime/222838844182
0,https://band.us/band/86294308/post/53,서준.상현.도연맘,2022년 8월 7일 오후 3:38,30 읽음,안녕하세요.그런데..잎에 벌레들이 생기는데 어떻게해야될까요?왜생기는건가요? ㅜㅠ너무초보라 아무것도 몰라자꾸 여쭤보게되 죄송하네요..😅
0,https://band.us/band/86294308/post/54,김민영,2022년 8월 8일 오전 10:22,40 읽음,안녕하세요~ 초보식물집사라서 궁금한게 너무 많았는데 이런 곳이 있다니 정말 반갑습니다! 거실에서 식물 키운지는 이제 두달쯤 되었고요~ 처음에 파키라와 여인초 선물 받고 쑥쑥 자라는게 신기해서 작은 화분들을 조금씩 사 모으게 되네요. 확장형 거실이라 베란다가 없고 아무래도 실내라서 해가 충분하지 않을것같아 따사로운 햇볕을 구입하게 되었습니다. 앞으로 궁금한 게 생기면 찾아올 병원이 있으니 너무 든든합니다! 우리집 화분 사진 보여드릴게요~
0,https://band.us/band/86294308/post/55,꽃피우는시간,2022년 8월 8일 오전 11:28,29 읽음,[화분 잘 못 고르면 식물이 죽을 수도 있다구요?]식물 건강하게 키우려면 화분 선택도 잘 해야 해요.식물 건강과 화분 선택에 대한 이야기 궁금하신가요~?https://blog.naver.com/flowerbloomingtime/222840270337
0,https://band.us/band/86294308/post/56,도도도,2022년 8월 8일 오후 12:22,45 읽음,도움을 요청합니다.거북 알로카시아 블로그글을 보시고 이웃신청을 해주셔서 여기까지 찾아들어오게 되었네요..요즘 저의 최대고민이라...ㅠㅠ제가 키우던 거북알로카시아가 아픈것같아요ㅠㅠ증상은 일단ㅡ새잎이 두달째 반쯤 펴진상태로 얼음 입니다ㅠㅡ가장 큰잎을 제외하고 나머지가 축 처져요.ㅡ잎 하나가 갑자기 색이 변하고 하엽졌습니다ㅠㅠㅡ평소 큰 나무가 앞에 있는 베란다에서 키워요. 빛이 나뭇잎 사이사이로 잘들어옵니다.(두번째 사진) 창문은 비가오지않는 이상은 열어두고 화분수분측정기로 속흙까지 말랐을때 물줬어요. ㅡ잎 하나가 떨어진후 화분 흙을 바크섞어서 다시 넣었습니다. 당시 뿌리가 과습인  상태는 아니었어요ㅠ
0,https://band.us/band/86294308/post/57,초보키우미,2022년 8월 8일 오후 3:05,27 읽음,저희집 무화과가 열매도 시들해지고 잎도 나아지지 않아요 ㅠㅜ 영양제도 주고 있고 물도 마를때마다 주는데 원인을 못 찾겠어요
0,https://band.us/band/86294308/post/58,꽃피우는시간,2022년 8월 8일 오후 10:53,37 읽음,[잎이 처질 때 어떻게 해야 하나요?]우리 집 식물이 고개를 숙이면 마음이 안 좋지요.잎이 처지는 이유와 대처 방법에 대해 알아봐요.https://blog.naver.com/flowerbloomingtime/222843329837
0,https://band.us/band/86294308/post/59,식물초보,2022년 8월 9일 오후 10:46,28 읽음,"최근 들어 다이소에 갔다가 방울토마토 키우기 세트를 보고 구매하여 키우게 되었습니다!심은 지 2주 동안 건강하게 무럭무럭 자라는 듯 싶던 방울토마토였는데요..몇 시간 전 화분을 살펴보다 버섯처럼 생긴 무언가를 발견했어요!버섯(?)을 뽑아야 할지 그대로 두어야 할지 잘 모르겠어요ㅠ오늘따라 물을 더 많이, 여러 번 주긴 했는데 그것 때문에 그런 걸까요???"
0,https://band.us/band/86294308/post/60,이남경,2022년 8월 10일 오후 2:21,34 읽음,처음으로 글을 올리네요. 반갑습니다.^^물을 많이 줘서 그런지 잎이 노래지고 있어요. 벌써 노래진 두장의 잎을 잘라냈는데도 계속 색이 변하고 있어요.오래 꽃을 보고 싶어요~
0,https://band.us/band/86294308/post/61,이남경,2022년 8월 10일 오후 7:45,36 읽음,아래글에 문의드린 난 뿌리상태에요.썪은거 같기도 하고...어떻게 관리하면 될까요?보통 요런 난의 수명은 얼마인가요?
0,https://band.us/band/86294308/post/62,엘리,2022년 8월 11일 오후 7:59,42 읽음,"왜 이렇게 되었는지,어떻게 해줘야 하는지 궁금합니다"
0,https://band.us/band/86294308/post/63,김민영,2022년 8월 12일 오후 4:22,56 읽음,전에 로즈마리 작은 화분을 키우다가 시들시들하더니 말라버렸어요. 그래서 이번에 좀 큰 로즈마리 화분을 얻어왔는데 갖고 올땐 엄청 싱싱하고 푸르던게 집안에서 몇시간만에 잎이 시들면서 축 쳐지는게 보이네요. 물을 너무 많이 주면 안된다고 하니 아직 화분 흙이 촉촉해서 물은 안줬고 통풍이 중요하다해서 선풍기를 틀어줬어요. 물을 더 주어야 하는 상황일까요? 아니면 공중분무를 해줘도 될까요?
0,https://band.us/band/86294308/post/64,초보키우미,2022년 8월 14일 오후 2:49,41 읽음,식물을 키우는데 날파리같은 벌레가 많이 생겼는데 이거 어떻게 없앨 수 있을까요?
0,https://band.us/band/86294308/post/65,꽃피우는시간,2022년 8월 15일 오후 12:51,62 읽음,[공기정화 식물이 사실 공기 정화 효과가 없다구요?]시중에 '공기정화 식물'이라고 판매되는 식물이 많지요.사실 우리 집에서 식물은 공기정화 효과가 없어요.이번 이야기는 정말 많은 분들이 오해하고 있는 내용이에요.꼭 끝까지 읽어주시길 바라요 https://blog.naver.com/flowerbloomingtime/222848389906
0,https://band.us/band/86294308/post/66,서준.상현.도연맘,2022년 8월 16일 오후 5:19,42 읽음,안녕하세요.2010년11원에 구입해서 거실에서 탈없이 물만보충해주면서 잘크고 있었습니다...그런데 한쪽이어느날갑자기 잎이 색이변해지고있어요ㅠ왜그런걸까요??
0,https://band.us/band/86294308/post/69,정원이,2022년 8월 20일 오후 1:49,23 읽음,액체비료를 사용할때 물에 희석하나요~그냥 원액 그대로 사용하나요~~?
0,https://band.us/band/86294308/post/71,이남경,2022년 8월 22일 오전 10:29,38 읽음,"친구에게 분양받아서 새 잎도 잘자라고 있어서 대견했는데 오늘 아침에 보니 반점이 있네요.세개의 잎중에 한개만 이렇네요.어떤 병인지, 제가 어떻게 관리해주면 좋을까요?"
0,https://band.us/band/86294308/post/72,꽃피우는시간,2022년 8월 22일 오전 11:03,108 읽음,"[새 가족 필독 해주세요!]새로 들어오신 꽃피우는시간 가족을 위한 식물 키우기 기본 팁!(중요) 따사로운햇볕 분무기 머리 앞부분 돌리면 물줄기 범위를 바꿀 수 있어요('SPRAY'가 위로 오게 돌려서 사용하세요)1. 물은 주기적으로 주는 게 아니에요!-  2~3일에 한 번씩 물 주는 것은 잘못된 물 주기에요!-  물은 겉 흙(흙 표면으로부터 1.5~2cm 아래 흙)이 건조해졌을 때 주는 거에요.2. 물 줄 때, 화분 아래 구멍으로 물이 계속 흘러나오도록 콸콸 많이 주세요.-  과습 무섭다고 물 줄 때 조금 주면 안돼요.-  물을 너무 자주 주고 통풍이 안되면 과습이 와요.-  너무 자주 주지 않되, 한 번 줄 때는 콸콸 충분히 많이 주세요.3. 더 이상 물이 나오지 않을 때 까지 받침대에 고인 물 비워주세요.4. 따사로운햇볕은 주 2~3회 잎에 분무.(일반적인 경우) 흙에 줄 때는 물 주는 시기에 겉 흙이 젖을 정도로 뿌린 후 물 콸콸 주세요.꽃피우는시간 반려식물 이야기 블로그에 식물 키우기 팁이 많이 있으니 한 번씩 읽어주시면 좋아요.https://blog.naver.com/flowerbloomingtime/222802435456"
