Unnamed: 0,link,writer,view,text,YMD,time,comment,전처리후text,전처리후comment
0,https://band.us/band/86294308/post/3,꽃피우는시간,11,"안녕하세요 꽃피우는시간입니다.실내반려식물케어 브랜드 꽃피우는시간이 온라인 런칭하며, 이용해주신 분들과 소통하기 위해 밴드를 개설했습니다.꽃피우는시간 제품 이용하시며 생긴 궁금증이나 문의사항을 공유해주시면 최선을 다해 답변드리겠습니다.감사합니다",2022년 1월 3일,오후 10:34,[],안녕하세요 꽃피우는시간입니다 실내반려식물케어 브랜드 꽃피우는시간이 온라인 런칭하며 이용해주신 분들과 소통하기 위해 밴드를 개설했습니다 꽃피우는시간 제품 이용하시며 생긴 궁금증이나 문의사항을 공유해주시면 최선을 다해 답변드리겠습니다 감사합니다, 
1,https://band.us/band/86294308/post/6,김애경,12,저희 식물이 점점 생기가 없어져서요.주문을 해보고 효과가 좋아 밴드도 가입했네요.ㅎ기존 영양제와 다르게 제가 직접 뿌릴 수 있어 더 좋아요.ㅎ우리 애들 빨리 클 수 있게 부탁드려요 ㅋ정보 잘 받아 볼게요 감사합니다.~,2022년 1월 4일,오후 1:13,['꽃피우는시간 : 아주 예쁜 아이들 키우고 계시네요! ㅎㅎ옆으로 길게 뻗은 줄기는 가지치기 해주시면 다른 잎들에 영양분이 공급되어 더 두꺼운 잎을 낼 수 있답니다한번 해보시고 더 튼튼해진 모습 다시 보여주시겠어요? ㅎㅎ'],저희 식물이 점점 생기가 없어져서요 주문을 해보고 효과가 좋아 밴드도 가입했네요 ㅎ기존 영양제와 다르게 제가 직접 뿌릴 수 있어 더 좋아요 ㅎ우리 애들 빨리 클 수 있게 부탁드려요 ㅋ정보 잘 받아 볼게요 감사합니다 , 꽃피우는시간 아주 예쁜 아이들 키우고 계시네요 ㅎㅎ옆으로 길게 뻗은 줄기는 가지치기 해주시면 다른 잎들에 영양분이 공급되어 더 두꺼운 잎을 낼 수 있답니다한번 해보시고 더 튼튼해진 모습 다시 보여주시겠어요 ㅎㅎ 
2,https://band.us/band/86294308/post/7,최인섭,13,안녕하세요~ 햇볕이 부족해서 영양제를 사봤어요~ 직접 뿌려줄수있어서 너무 좋네요 예쁜 꽃대가 올라오기를 기대합니다~~^^,2022년 1월 10일,오후 12:58,"['꽃피우는시간 : 아주 예쁜 화분들을 가지셨네요!!', '꽃피우는시간 : 이벤트 참여해주셔서 리필형 보내드리겠습니다! 감사해요~ ㅎㅎ', '최인섭 : 잘 받았습니다~~ 감사합니다~~^^', '박선아~의정부 : 안녕하세요 저도 조명사서설치해주고 오늘 두병다사용해서  뿌려주었는 꽃들피길 기대합니다', '박선아~의정부 : 설명서보고 쀼려주었으니 기대하고 있어요 ~쟈구매는  쿠팡서만 하는지요 ~?']",안녕하세요 햇볕이 부족해서 영양제를 사봤어요 직접 뿌려줄수있어서 너무 좋네요 예쁜 꽃대가 올라오기를 기대합니다 , 꽃피우는시간 아주 예쁜 화분들을 가지셨네요 꽃피우는시간 이벤트 참여해주셔서 리필형 보내드리겠습니다 감사해요 ㅎㅎ 최인섭 잘 받았습니다 감사합니다 박선아 의정부 안녕하세요 저도 조명사서설치해주고 오늘 두병다사용해서 뿌려주었는 꽃들피길 기대합니다 박선아 의정부 설명서보고 쀼려주었으니 기대하고 있어요 쟈구매는 쿠팡서만 하는지요 
3,https://band.us/band/86294308/post/8,꽃피우는시간,15,"다육이 키우시나요?다육이는 독성이 없는 종이라, 벌레가 생기기 쉽습니다.벌레가 한 번 생기면 차라리 버리는게 나을 정도로,굉장히 귀찮아지게 됩니다.다육이 농가에서 다육이 구매 시 필연적으로 따라올 수 밖에 없는화분흙에 살고 있는 벌레, 벌레알들을독성 없는 친환경 목초액 성분으로 죽여주고,다른 미량요소들을 다육이에 공급해주어병충해 면역력을 높여주는 제품입니다.당연히 국산 최고급 재료들만 들어있으며,이 외에도 다양한 이로운 성분이 많이 들어있습니다.다육이 잘 키우는 방법을 자세히 소개해놓았으니,자세한 것은 내일 상세페이지 참고해주시고.평안한 일주일 보내시기 바랍니다.감사합니다.",2022년 1월 16일,오후 10:48,"['김일미 : 저도 이 영양제(식물, 다육이전용) 으로 샀습니다. 근데 행사용금액으로 지금 올려져있는거 살수 있을까요  쿠팡에선 행사금액으로 판매안하고있습니다.']",다육이 키우시나요 다육이는 독성이 없는 종이라 벌레가 생기기 쉽습니다 벌레가 한 번 생기면 차라리 버리는게 나을 정도로 굉장히 귀찮아지게 됩니다 다육이 농가에서 다육이 구매 시 필연적으로 따라올 수 밖에 없는화분흙에 살고 있는 벌레 벌레알들을독성 없는 친환경 목초액 성분으로 죽여주고 다른 미량요소들을 다육이에 공급해주어병충해 면역력을 높여주는 제품입니다 당연히 국산 최고급 재료들만 들어있으며 이 외에도 다양한 이로운 성분이 많이 들어있습니다 다육이 잘 키우는 방법을 자세히 소개해놓았으니 자세한 것은 내일 상세페이지 참고해주시고 평안한 일주일 보내시기 바랍니다 감사합니다 , 김일미 저도 이 영양제 식물 다육이전용 으로 샀습니다 근데 행사용금액으로 지금 올려져있는거 살수 있을까요 쿠팡에선 행사금액으로 판매안하고있습니다 
4,https://band.us/band/86294308/post/9,꽃피우는시간,13,따사로운햇볕 다육식물용 출시되었습니다.한정수량 행사 중이니 확인해보세요.https://www.coupang.com/vp/products/6291840722?itemId=12967236116&vendorItemId=80231271368&isAddedCart=,2022년 1월 17일,오후 11:50,"['김일미 : 행사안하고 있는데요?', '김일미 : 쿠팡에서 이 금액으로 판매하고있어요', '김일미 : 다육이 1000ml, 식물1000ml 2 개 사고싶습니다. 향사금액으로', '꽃피우는시간 : 아고, 헷갈리게 해드려 죄송해요. 이 행사는 올해 1월달에 다육이용 출시하고 초기 150개 물량 까지만 진행했던 행사에요. 지금은 이 행사가 끝났습니다. 차 후에 식물병원 밴드 자체로 행사도 진행할 예정이니, 그 때 참여를 부탁드립니다..', '김일미 : 아~ ㅋㅋ 제가 날짜를 보지못했군요 죄송합니다']",따사로운햇볕 다육식물용 출시되었습니다 한정수량 행사 중이니 확인해보세요 , 김일미 행사안하고 있는데요 김일미 쿠팡에서 이 금액으로 판매하고있어요 김일미 다육이 1000ml 식물1000ml 2 개 사고싶습니다 향사금액으로 꽃피우는시간 아고 헷갈리게 해드려 죄송해요 이 행사는 올해 1월달에 다육이용 출시하고 초기 150개 물량 까지만 진행했던 행사에요 지금은 이 행사가 끝났습니다 차 후에 식물병원 밴드 자체로 행사도 진행할 예정이니 그 때 참여를 부탁드립니다 김일미 아 ㅋㅋ 제가 날짜를 보지못했군요 죄송합니다 
5,https://band.us/band/86294308/post/11,꽃피우는시간,2,우리 밴드의 소개가 업데이트 되었어요.사진 내용을 확인해 보세요.,2022년 6월 16일,오후 3:01,[],우리 밴드의 소개가 업데이트 되었어요 사진 내용을 확인해 보세요 , 
6,https://band.us/band/86294308/post/12,꽃피우는시간,136,"꽃피우는시간 식물병원을 개원합니다!1. 아픈 우리집 식물 사진을 올려주세요2. 우리집 식물이 살고 있는 사진을 올려주세요3. 식물 관련 궁금했던 것, 따사로운햇볕 영양제 관련 문의사항을 올려주세요4. 베스트 사례로 뽑히는 분들은 유튜브 컨텐츠화와 함께 따사로운햇볕 리필형세트를 선물로 드려요꽃피우는시간은 반려식물 전문 케어 브랜드입니다.#꽃피우는시간#식물영양제#반려식물#실내화초#실내화분#다육이",2022년 6월 16일,오후 8:43,"['김일미 : 거실에서 자라고 있는 식물입니다', '김주연 : 화분키우는게 취미인데요.식물병원을 알게돼서 좋아요', '강유자 : 여름부터시작한 초보입니다꽃대를  어떻게해줘야할지  모르겠어요분갈이했더니  말라버려습니다', '한혜정 : 이 세가지 영양제를 다육이에게 하룻저녁에 줘도 될까요?']",꽃피우는시간 식물병원을 개원합니다 1 아픈 우리집 식물 사진을 올려주세요2 우리집 식물이 살고 있는 사진을 올려주세요3 식물 관련 궁금했던 것 따사로운햇볕 영양제 관련 문의사항을 올려주세요4 베스트 사례로 뽑히는 분들은 유튜브 컨텐츠화와 함께 따사로운햇볕 리필형세트를 선물로 드려요꽃피우는시간은 반려식물 전문 케어 브랜드입니다 꽃피우는시간 식물영양제 반려식물 실내화초 실내화분 다육이, 김일미 거실에서 자라고 있는 식물입니다 김주연 화분키우는게 취미인데요 식물병원을 알게돼서 좋아요 강유자 여름부터시작한 초보입니다꽃대를 어떻게해줘야할지 모르겠어요분갈이했더니 말라버려습니다 한혜정 이 세가지 영양제를 다육이에게 하룻저녁에 줘도 될까요 
7,https://band.us/band/86294308/post/14,김일미,6,녹보수이고  식물영양제도 줬는데도 몇몇 잎파리끝부분이 까맣게 변하면서 사간이 지나면 떨어집니다. 꽃가게에선 물부족이라고합니다.,2022년 6월 20일,오후 12:13,"['꽃피우는시간 : 안녕하세요~ 거실에서 자라고 있는 아이인가요? 주변 환경(햇빛이 얼마나 드는 곳인지, 통풍이 얼마나 되는지)도 한 번 보여주시겠어요?물, 영양제는 얼마나 자주 주셨는지요~', '김일미 : 네 ~ 거실에서 키우고 있구요주방에서 거실까지 매일 문열어놓고 환기도 바로 되어있습니다.', '김일미 : 영양제는 1번줬고 준지 몇일안되었습니다']",녹보수이고 식물영양제도 줬는데도 몇몇 잎파리끝부분이 까맣게 변하면서 사간이 지나면 떨어집니다 꽃가게에선 물부족이라고합니다 , 꽃피우는시간 안녕하세요 거실에서 자라고 있는 아이인가요 주변 환경 햇빛이 얼마나 드는 곳인지 통풍이 얼마나 되는지 도 한 번 보여주시겠어요 물 영양제는 얼마나 자주 주셨는지요 김일미 네 거실에서 키우고 있구요주방에서 거실까지 매일 문열어놓고 환기도 바로 되어있습니다 김일미 영양제는 1번줬고 준지 몇일안되었습니다 
8,https://band.us/band/86294308/post/15,김일미,17,녹보수이고 식물영양제도 줬고 몇몇잎파리끝부뷴이 까맣게 변하고 조금 지나면 떨어집니다. 꽃가게에선 물부족이라해서 물도 줬습니다,2022년 6월 20일,오후 12:15,"['꽃피우는시간 : 공기가 너무 건조하면 이렇게 잎 끝이 갈색으로 타들어갈 수 있어요. 물은 얼마나 자주 주시나요?', '김일미 : 2주마다요', '김일미 : 짐 잎파리도 빳빳합네다', '김일미 : 저희집은 1층이라 습기도 많고 건조허지 않습니다.', '밍키 : 전 녹보스 4월부터 베란다에서 키우는데요. 흙이 금방말라 항상 흙상태 체크하면서 물줘요. 4-5일에 한번씩 줘요 물을 금방 먹어요.', '꽃피우는시간 : 녹보수는 과습에도 잎이 노랗게 되고, 물이 부족해도 잎이 노랗게 돼요 2주에 한번씩은 조금 물이 부족해 보여요. 밍키님처럼 겉흙이 말라보이면 물이나 따사로운햇볕을 흠뻑 주시면 좋아질 것으로 보여요. 일미님은 식물이 많으셔서 따사로운햇볕 제품만 사용하면 사용량이 너무 많을 것 같아요. 주로 물을 주시되, 한 번씩만 영양제 섞어 주셔도 돼요. 낮에는 최대한 커튼도 활짝 열어 햇빛도 많이 쬐어주세요']",녹보수이고 식물영양제도 줬고 몇몇잎파리끝부뷴이 까맣게 변하고 조금 지나면 떨어집니다 꽃가게에선 물부족이라해서 물도 줬습니다, 꽃피우는시간 공기가 너무 건조하면 이렇게 잎 끝이 갈색으로 타들어갈 수 있어요 물은 얼마나 자주 주시나요 김일미 2주마다요 김일미 짐 잎파리도 빳빳합네다 김일미 저희집은 1층이라 습기도 많고 건조허지 않습니다 밍키 전 녹보스 4월부터 베란다에서 키우는데요 흙이 금방말라 항상 흙상태 체크하면서 물줘요 4 5일에 한번씩 줘요 물을 금방 먹어요 꽃피우는시간 녹보수는 과습에도 잎이 노랗게 되고 물이 부족해도 잎이 노랗게 돼요 2주에 한번씩은 조금 물이 부족해 보여요 밍키님처럼 겉흙이 말라보이면 물이나 따사로운햇볕을 흠뻑 주시면 좋아질 것으로 보여요 일미님은 식물이 많으셔서 따사로운햇볕 제품만 사용하면 사용량이 너무 많을 것 같아요 주로 물을 주시되 한 번씩만 영양제 섞어 주셔도 돼요 낮에는 최대한 커튼도 활짝 열어 햇빛도 많이 쬐어주세요 
9,https://band.us/band/86294308/post/17,김일미,29,은행목이며 살땐 건강하고 예쁜아이였고 다육이전용영양제를 조금 줬는데도 불구하고 몇일지나니까 잎파리도 떨어지고 윗부분도 가루처럼 이렇게 변했어요 이유가 뭘까요?,2022년 6월 20일,오후 12:17,"['꽃피우는시간 : 다육이는 대사가 느려서 영양제를 주고 며칠 몇주 내에 바로 변화를 보기는 힘든 특징이 있지요, 그리고 다육이도 햇빛을 받아주는게 중요한데요, 다육이 화분을 어디에 두셨나요? 한 번 보여주시겠어요? 물은 어떤 주기로 주고 계신지요?', '김일미 : 다육이는 배란에에 두고 있어요 . 물은 꽃때도 빳빳하고 잎파리도 땡글해서 물읕 안줬고 분무기로 가끔 줬어요', '김일미 : 그리고 다육영양제도 한번 줬습니다.', '꽃피우는시간 : 투명한 창문을 통한 햇빛도 완전 양지라고 보기는 힘든 환경이에요. 그런데 불투명 창문이라서 더 햇빛을 많이 못 쬐어주는 환경으로 보여요. 다만 다육이에 중요한 환기는 양호해보이네요.특히 다육이는 농원에서 딴딴하고 싱싱한 상태로 온 뒤, 집에 와서 점점 덜 싱싱해지는 모습을 볼 수 밖에 없어 가슴아픈 식물이지요. 키우기 쉽다고 소문난 녀석이지만, 사실 물을 자주 안 먹을 뿐 처음 데려왔을 때의 컨디션을 유지해주기는 쉽지 않은 식물이랍니다.', '김일미 : 반투명은 전체창문의 3분1정도밖에 안되며 햋빛도 잘들어오는 남향입니다. 근데 은행목은 왜 윗부분이 가루처럼  바스라져 있는 거죠? 이유가 뭘까요?', '꽃피우는시간 : 한 번씩 분무기로 영양제나 물을 주시는 것도 하지 않는게 더 좋아요. 지금 잎이 상당히 땡땡한 것 같은데, 물을 뿌려주시면 과습이 와 잎이 우수수 떨어질 수도 있어요. 잎에 가루가 생긴 것은 닦아주거나 한 번 물로 샤워를 시켜주시면 좋아요. 잎을 덮어 광합성을 방해할 수 있거든요. 가루 생겼을 때 씻어줄 때만 잎에 물을 뿌려주시고, 평소 물이나 영양제 주실 때는 흙에만 주세요. 그리고 뒤에 있는 다른 화분들 때문에 햇빛을 잘 못받는다고 생각이 들면, 화분을 옮겨 햇빛을 온전히 받을 수 있도록 해줘야 은행목이 웃자라는 것을 예방할 수 있어요.', '김일미 : 잎파리도 땡글땡글하고 목대도 단단합니다', '꽃피우는시간 : 새 잎을 내려다가 잎이 건강히 크지 못하고 바스러지고 있는 것 같은데, 잎도 떨어지고 하는 걸 보아, 과습이 의심되네요. 흙을 체크해주면 좋겠는데, 흙이 딴딴하게 눌러담겨서 배수가 잘 안되고 있는 상황은 아닌지요?', '꽃피우는시간 : 딴딴한 것은 수분이 잎에 가득 차있는 것이에요~ 물 주는 시기를 확실히 늦춰주셔야 할 것 같아요', '김일미 : 아~ 다시 다육이전용흙으로  다시 분갈이해 보겠습니다', '꽃피우는시간 : 네 분갈이를 하실 수 있다면, 한 번 해보시길 추천드려요. 보통 일이 아닌데 대단하세요. 흙은 살살 담아 물이 잘 통하게끔 해주시는거 잊지 마시구요~! 혹 썩은 뿌리가 있다면 잘라내 주시구요', '김일미 : 다육이전용흙으로 분갈이해줬고  위엔 마사토를 깔아줬어요 근데 다육이를 빼보니 흙은 뽀송하게 들어있었어요', '김일미 : 바스러지지 않고 잘커주길 기대해봅니다 감사합니다']",은행목이며 살땐 건강하고 예쁜아이였고 다육이전용영양제를 조금 줬는데도 불구하고 몇일지나니까 잎파리도 떨어지고 윗부분도 가루처럼 이렇게 변했어요 이유가 뭘까요 , 꽃피우는시간 다육이는 대사가 느려서 영양제를 주고 며칠 몇주 내에 바로 변화를 보기는 힘든 특징이 있지요 그리고 다육이도 햇빛을 받아주는게 중요한데요 다육이 화분을 어디에 두셨나요 한 번 보여주시겠어요 물은 어떤 주기로 주고 계신지요 김일미 다육이는 배란에에 두고 있어요 물은 꽃때도 빳빳하고 잎파리도 땡글해서 물읕 안줬고 분무기로 가끔 줬어요 김일미 그리고 다육영양제도 한번 줬습니다 꽃피우는시간 투명한 창문을 통한 햇빛도 완전 양지라고 보기는 힘든 환경이에요 그런데 불투명 창문이라서 더 햇빛을 많이 못 쬐어주는 환경으로 보여요 다만 다육이에 중요한 환기는 양호해보이네요 특히 다육이는 농원에서 딴딴하고 싱싱한 상태로 온 뒤 집에 와서 점점 덜 싱싱해지는 모습을 볼 수 밖에 없어 가슴아픈 식물이지요 키우기 쉽다고 소문난 녀석이지만 사실 물을 자주 안 먹을 뿐 처음 데려왔을 때의 컨디션을 유지해주기는 쉽지 않은 식물이랍니다 김일미 반투명은 전체창문의 3분1정도밖에 안되며 햋빛도 잘들어오는 남향입니다 근데 은행목은 왜 윗부분이 가루처럼 바스라져 있는 거죠 이유가 뭘까요 꽃피우는시간 한 번씩 분무기로 영양제나 물을 주시는 것도 하지 않는게 더 좋아요 지금 잎이 상당히 땡땡한 것 같은데 물을 뿌려주시면 과습이 와 잎이 우수수 떨어질 수도 있어요 잎에 가루가 생긴 것은 닦아주거나 한 번 물로 샤워를 시켜주시면 좋아요 잎을 덮어 광합성을 방해할 수 있거든요 가루 생겼을 때 씻어줄 때만 잎에 물을 뿌려주시고 평소 물이나 영양제 주실 때는 흙에만 주세요 그리고 뒤에 있는 다른 화분들 때문에 햇빛을 잘 못받는다고 생각이 들면 화분을 옮겨 햇빛을 온전히 받을 수 있도록 해줘야 은행목이 웃자라는 것을 예방할 수 있어요 김일미 잎파리도 땡글땡글하고 목대도 단단합니다 꽃피우는시간 새 잎을 내려다가 잎이 건강히 크지 못하고 바스러지고 있는 것 같은데 잎도 떨어지고 하는 걸 보아 과습이 의심되네요 흙을 체크해주면 좋겠는데 흙이 딴딴하게 눌러담겨서 배수가 잘 안되고 있는 상황은 아닌지요 꽃피우는시간 딴딴한 것은 수분이 잎에 가득 차있는 것이에요 물 주는 시기를 확실히 늦춰주셔야 할 것 같아요 김일미 아 다시 다육이전용흙으로 다시 분갈이해 보겠습니다 꽃피우는시간 네 분갈이를 하실 수 있다면 한 번 해보시길 추천드려요 보통 일이 아닌데 대단하세요 흙은 살살 담아 물이 잘 통하게끔 해주시는거 잊지 마시구요 혹 썩은 뿌리가 있다면 잘라내 주시구요 김일미 다육이전용흙으로 분갈이해줬고 위엔 마사토를 깔아줬어요 근데 다육이를 빼보니 흙은 뽀송하게 들어있었어요 김일미 바스러지지 않고 잘커주길 기대해봅니다 감사합니다 
